number	win_rate
1	0.0000
2	0.0000
3	0.0312
4	0.5625
5	0.5000
6	0.7500
7	0.7812
8	0.7188
9	0.6875
10	0.5938
11	0.9062
12	0.9062
13	0.8750
14	0.8750
15	0.9688
16	0.9375
17	0.9688
18	0.6875
19	0.9062
20	0.9062
21	0.9062
22	0.9375
23	0.9375
24	0.9062
25	1.0000
26	0.9375
27	0.9688
28	0.8750
29	0.9062
30	1.0000
31	1.0000
32	0.8438
33	1.0000
34	0.9062
35	0.8750
36	0.9062
37	0.9062
38	1.0000
39	0.8750
40	0.8750
41	0.9062
42	0.8750
43	0.8750
44	0.9062
45	0.9688
46	0.9375
47	0.8438
48	0.9375
49	0.8125
50	0.9688
51	0.9375
52	0.9375
53	0.9375
54	1.0000
55	0.9375
56	0.9688
57	0.9688
58	0.9375
59	0.9062
60	0.9375
61	0.9688
62	0.9062
63	0.9375
64	1.0000
65	0.9375
66	0.9688
67	0.9375
68	0.6875
69	0.8750
70	0.9375
71	0.9375
72	0.8438
73	0.9062
74	0.8750
75	0.8125
76	0.9375
77	0.9062
78	0.9375
79	0.9688
80	0.8438
81	0.9375
82	0.9375
83	0.9375
84	1.0000
85	0.8125
86	0.8750
87	0.9688
88	0.9062
89	0.8750
90	0.9688
91	0.9375
92	0.9375
93	0.9375
94	0.8438
95	0.9375
96	0.9375
97	0.9062
98	0.8750
99	0.9062
100	0.9375
101	0.9062
102	0.9375
103	0.9688
104	0.9375
105	0.8750
106	0.9375
107	0.9375
108	1.0000
109	0.9375
110	0.8750
111	0.8750
112	0.8750
113	0.9375
114	0.9375
115	0.9688
116	0.8438
117	0.9375
118	0.9375
119	0.9688
120	0.9375
121	0.9375
122	0.9375
123	0.9062
124	0.9062
125	0.9375
126	0.9375
127	0.9062
128	0.9688
129	0.8125
130	0.9062
131	0.9375
132	1.0000
133	0.9375
134	1.0000
135	0.9688
136	0.8438
137	0.9062
138	0.8750
139	0.8438
140	0.9375
141	0.9688
142	0.9688
143	0.8125
144	0.9062
145	0.7812
146	1.0000
147	0.9062
148	0.9375
149	0.9062
150	0.9688
151	0.9062
152	0.9062
153	0.9375
154	0.9688
155	0.9062
156	0.9688
157	0.9062
158	0.9062
159	1.0000
160	0.9688
161	0.8750
162	0.9375
163	0.9062
164	0.9062
165	0.9062
166	0.9688
167	0.9688
168	0.8750
169	1.0000
170	0.8438
171	0.9062
172	0.9375
173	0.8438
174	0.9375
175	0.9688
176	0.8125
177	0.8750
178	0.9062
179	0.9062
180	1.0000
181	1.0000
182	1.0000
183	0.9375
184	0.9375
185	0.9688
186	1.0000
187	0.7500
188	0.9375
189	0.9688
190	0.9375
191	0.9375
192	0.9688
193	0.9375
194	0.9375
195	0.8750
196	0.9375
197	0.9062
198	0.9062
199	0.9062
200	0.9062
201	0.9375
202	0.9375
203	0.8750
204	0.9062
205	0.8438
206	0.9062
207	0.9062
208	0.9062
209	0.8750
210	0.8750
211	0.9688
212	1.0000
213	0.8750
214	0.8125
215	0.8438
216	0.9062
217	0.8750
218	0.9375
219	0.8750
220	1.0000
221	0.9375
222	0.9375
223	0.9375
224	0.8750
225	0.9062
226	0.9062
227	0.8125
228	0.9375
229	0.9062
230	0.9062
231	0.8438
232	0.9062
233	0.8438
234	0.8750
235	0.8438
236	0.9062
237	0.9062
238	0.7812
239	0.9062
240	0.8438
241	0.9375
242	0.9062
243	0.8750
244	0.9375
245	0.9688
246	0.9375
247	0.8750
248	0.9375
249	0.9062
250	0.7500
251	0.9062
252	0.8750
253	0.9375
254	0.9375
255	0.9375
256	0.8750
257	0.9062
258	0.8438
259	0.9062
260	0.9062
261	0.7188
262	0.8438
263	0.9375
264	0.9062
265	1.0000
266	0.9688
267	1.0000
268	1.0000
269	0.9688
270	0.9375
271	0.7500
272	0.9688
273	0.9688
274	0.9688
275	0.9062
276	0.8125
277	0.9062
278	0.8750
279	0.9375
280	0.8438
281	0.9688
282	0.9375
283	0.9375
284	0.9375
285	0.9062
286	0.9062
287	0.9062
288	0.7812
289	0.9375
290	0.9688
291	0.9375
292	0.9062
293	0.8438
294	0.9688
295	0.9062
296	0.8750
297	0.9375
298	0.8750
299	0.9062
300	1.0000
301	0.9062
302	0.9688
303	0.8750
304	1.0000
305	0.8125
306	0.9062
307	0.8438
308	0.8438
309	0.9375
310	0.8750
311	0.8750
312	0.9688
313	0.8125
314	0.8750
315	0.9062
316	0.9375
317	0.9062
318	0.9375
319	0.9375
320	0.8125
321	0.9062
322	0.8125
323	0.9688
324	0.9062
325	0.9062
326	0.9375
327	0.9062
328	0.8438
329	0.9062
330	0.8750
331	0.8438
332	0.9375
333	0.9062
334	0.9375
335	0.9062
336	0.8750
337	0.8750
338	0.8750
339	0.9375
340	0.9375
341	0.8750
342	0.9688
343	0.9688
344	0.7812
345	0.9688
346	0.9688
347	0.9062
348	0.9688
349	0.9062
350	0.8438
351	0.9375
352	0.9375
353	1.0000
354	0.8750
355	0.8438
356	0.8750
357	0.8750
358	0.9375
359	1.0000
360	0.9375
361	0.9062
362	0.8750
363	0.9688
364	0.9375
365	0.8125
366	0.9375
367	0.8750
368	0.9375
369	0.8750
370	0.9375
371	0.9688
372	0.9062
373	0.9375
374	0.9062
375	0.9375
376	1.0000
377	0.9062
378	0.9062
379	0.9062
380	0.9062
381	0.9375
382	0.8750
383	0.9062
384	0.7812
385	0.9688
386	0.8438
387	0.9062
388	0.9688
389	0.9688
390	0.9062
391	0.8750
392	0.9375
393	0.9062
394	1.0000
395	0.9688
396	0.9062
397	1.0000
398	0.9375
399	0.9375
400	0.9688
401	0.8125
402	0.8438
403	0.9062
404	0.8750
405	0.8125
406	0.9062
407	0.8125
408	0.8750
409	0.8750
410	0.8750
411	0.8750
412	1.0000
413	0.9375
414	1.0000
415	0.9375
416	0.9375
417	0.9375
418	0.9688
419	0.9375
420	1.0000
421	0.8750
422	1.0000
423	0.9062
424	0.8750
425	0.9375
426	0.9062
427	0.8438
428	0.9062
429	0.8750
430	0.9688
431	0.8438
432	0.9688
433	0.9375
434	0.9688
435	0.9375
436	0.9688
437	0.9375
438	0.9688
439	0.9375
440	0.8750
441	0.9688
442	0.9688
443	0.9062
444	0.9688
445	0.9375
446	0.7812
447	0.8750
448	0.9062
449	0.7812
450	0.8438
451	0.9062
452	0.9062
453	0.9062
454	0.9688
455	0.9375
456	0.9688
457	0.9062
458	0.8438
459	0.7812
460	0.9688
461	0.8750
462	0.8125
463	0.9062
464	0.9688
465	0.9375
466	0.8750
467	0.9688
468	0.9688
469	0.8438
470	0.8438
471	0.9375
472	0.8750
473	1.0000
474	0.9688
475	0.9062
476	0.9375
477	0.8750
478	0.9375
479	0.9688
480	0.9688
481	0.9375
482	1.0000
483	0.9375
484	0.9688
485	0.9062
486	0.9062
487	0.8750
488	0.9375
489	0.8438
490	0.9688
491	0.8750
492	0.9375
493	0.9688
494	0.9375
495	0.9062
496	0.9688
497	0.9375
498	0.8438
499	1.0000
500	0.8750
501	0.9375
502	0.9062
503	0.9375
504	0.9375
505	1.0000
506	0.9375
507	1.0000
508	0.9688
509	0.9688
510	0.9375
511	0.9688
512	0.9688
513	0.8125
514	1.0000
515	0.9062
516	0.9688
517	0.9688
518	0.9375
519	1.0000
520	0.9375
521	1.0000
522	0.9688
523	0.9062
524	0.9688
525	1.0000
526	0.9688
527	0.9062
528	0.9688
529	0.9688
530	0.8125
531	0.9688
532	1.0000
533	0.9688
534	1.0000
535	0.9688
536	0.9375
537	0.9375
538	0.9688
539	0.9062
540	0.8750
541	1.0000
542	0.9688
543	0.9062
544	0.9688
545	0.9062
546	0.9062
547	1.0000
548	0.9375
549	1.0000
550	0.9688
551	0.9688
552	0.9375
553	1.0000
554	0.9688
555	0.9688
556	0.8750
557	0.9062
558	0.9375
559	0.9375
560	0.9375
561	1.0000
562	0.9062
563	0.8750
564	0.9062
565	0.9375
566	0.9688
567	0.9688
568	1.0000
569	0.9375
570	0.9375
571	0.8438
572	0.9688
573	0.9375
574	0.9062
575	0.9688
576	0.9688
577	0.9062
578	0.9688
579	0.9062
580	0.9375
581	0.9688
582	0.8438
583	0.9688
584	1.0000
585	0.9375
586	0.9688
587	0.9688
588	0.9062
589	0.9062
590	0.9062
591	0.9062
592	0.9688
593	0.9688
594	0.9375
595	1.0000
596	0.9688
597	0.9375
598	0.9688
599	0.9375
600	0.9688
601	1.0000
602	0.9062
603	0.9688
604	0.9688
605	0.9688
606	1.0000
607	1.0000
608	0.9375
609	0.9375
610	1.0000
611	0.9375
612	0.9375
613	0.8750
614	0.7812
615	1.0000
616	0.9688
617	0.8750
618	0.9375
619	0.9688
620	0.9375
621	0.9688
622	1.0000
623	0.9062
624	0.9688
625	0.8750
626	0.8125
627	1.0000
628	0.8125
629	0.9062
630	0.9688
631	0.9688
632	1.0000
633	0.9688
634	0.9688
635	0.9375
636	0.8438
637	0.9375
638	0.9688
639	0.9062
640	0.9375
641	0.9375
642	0.9062
643	1.0000
644	1.0000
645	0.9375
646	0.9375
647	1.0000
648	1.0000
649	0.9688
650	1.0000
651	0.9375
652	0.9062
653	0.9688
654	1.0000
655	0.9688
656	0.9062
657	0.9375
658	0.9688
659	0.9688
660	0.9688
661	0.9688
662	1.0000
663	0.9688
664	0.9062
665	0.8125
666	0.9688
667	0.9688
668	0.9688
669	0.9062
670	0.9688
671	0.9062
672	0.9688
673	0.9375
674	1.0000
675	0.9375
676	0.9062
677	0.9688
678	0.9375
679	0.9688
680	1.0000
681	0.9688
682	0.9688
683	0.9062
684	0.8750
685	0.9375
686	1.0000
687	0.9375
688	0.9375
689	0.9688
690	0.8750
691	0.9688
692	0.9375
693	1.0000
694	0.9375
695	0.9688
696	1.0000
697	0.9375
698	0.9688
699	0.9688
700	1.0000
701	0.9688
702	1.0000
703	0.9688
704	0.9688
705	0.9688
706	0.9062
707	0.9062
708	0.9375
709	1.0000
710	0.9375
711	1.0000
712	0.9375
713	0.9688
714	0.9375
715	0.9688
716	0.9375
717	0.9375
718	1.0000
719	0.8750
720	0.9688
721	0.9688
722	1.0000
723	1.0000
724	0.7500
725	0.9688
726	0.9375
727	0.9688
728	0.9688
729	0.9688
730	0.9375
731	0.9375
732	0.9688
733	0.8750
734	0.9062
735	0.8750
736	0.9688
737	0.8750
738	0.8750
739	0.9375
740	0.9062
741	0.6875
742	0.9062
743	0.9062
744	0.9062
745	0.8438
746	1.0000
747	0.9062
748	0.9375
749	0.8750
750	1.0000
751	0.9688
752	0.9375
753	0.9688
754	1.0000
755	0.8438
756	0.9375
757	1.0000
758	0.9688
759	0.9688
760	0.9688
761	0.9375
762	0.9375
763	0.9688
764	0.9688
765	0.9062
766	0.8750
767	0.8125
768	0.9375
769	0.8750
770	0.9688
771	1.0000
772	0.9062
773	1.0000
774	0.9688
775	0.9688
776	1.0000
777	0.9688
778	0.9375
779	1.0000
780	0.9688
781	1.0000
782	0.9375
783	0.9688
784	0.9062
785	0.9375
786	1.0000
787	0.9688
788	0.9688
789	0.9375
790	0.9688
791	0.9688
792	0.9688
793	0.8750
794	0.9375
795	0.9375
796	0.9688
797	0.9375
798	0.9375
799	1.0000
800	0.9375
801	0.9375
802	0.9375
803	0.9688
804	1.0000
805	1.0000
806	0.9688
807	0.9688
808	0.9688
809	1.0000
810	0.9062
811	0.9688
812	0.9688
813	1.0000
814	0.9688
815	0.9688
816	0.9062
817	0.9375
818	0.9688
819	1.0000
820	0.9688
821	0.9375
822	0.9688
823	0.9375
824	1.0000
825	0.9375
826	0.9688
827	0.9375
828	0.9688
829	1.0000
830	1.0000
831	1.0000
832	1.0000
833	0.9375
834	0.9375
835	0.9688
836	0.9688
837	0.9062
838	0.9688
839	1.0000
840	0.9375
841	1.0000
842	0.9375
843	0.8750
844	1.0000
845	0.9375
846	0.9688
847	0.9688
848	1.0000
849	1.0000
850	1.0000
851	1.0000
852	0.9688
853	0.9375
854	0.9688
855	0.9688
856	0.9688
857	1.0000
858	1.0000
859	1.0000
860	0.9688
861	0.9688
862	0.9688
863	1.0000
864	0.9062
865	1.0000
866	1.0000
867	0.9688
868	1.0000
869	0.9688
870	1.0000
871	0.9688
872	0.9688
873	0.9688
874	0.9062
875	1.0000
876	1.0000
877	0.9375
878	1.0000
879	1.0000
880	1.0000
881	0.9688
882	0.9375
883	0.9688
884	1.0000
885	0.9688
886	1.0000
887	1.0000
888	0.9688
889	0.9375
890	0.8750
891	1.0000
892	0.9688
893	1.0000
894	1.0000
895	1.0000
896	1.0000
897	0.9688
898	0.9688
899	0.9688
900	0.9688
901	0.9688
902	0.9688
903	0.8750
904	1.0000
905	0.9375
906	1.0000
907	0.9062
908	0.9688
909	0.9375
910	0.9375
911	0.9688
912	0.9375
913	0.9688
914	1.0000
915	0.9688
916	0.9062
917	0.9062
918	0.9062
919	1.0000
920	0.8750
921	0.8750
922	0.9375
923	0.8750
924	1.0000
925	0.8750
926	0.8438
927	0.9062
928	1.0000
929	0.9688
930	0.9688
931	0.8438
932	1.0000
933	0.9062
934	0.9062
935	0.9062
936	0.8750
937	1.0000
938	0.9062
939	0.9062
940	0.9375
941	0.8750
942	0.8750
943	0.8750
944	0.8750
945	0.8438
946	0.9062
947	0.8438
948	0.9062
949	0.8750
950	0.9375
951	0.8750
952	0.9062
953	0.8750
954	0.9375
955	0.9375
956	0.9375
957	0.9688
958	0.9062
959	0.9688
960	0.9375
961	0.9062
962	0.9688
963	0.9062
964	0.8750
965	0.8438
966	0.9062
967	0.9062
968	0.8125
969	0.8438
970	0.9688
971	0.9688
972	0.8438
973	0.7500
974	0.8750
975	0.8125
976	0.8750
977	0.8750
978	0.8750
979	0.8750
980	0.9375
981	0.8438
982	0.9062
983	0.9062
984	0.8750
985	0.9375
986	0.9688
987	0.7812
988	0.9375
989	0.9375
990	0.8750
991	0.8750
992	0.9062
993	0.9688
994	0.9375
995	0.9688
996	0.9375
997	0.9062
998	0.9062
999	0.9375
1000	1.0000
1001	0.9062
1002	0.9688
1003	0.9375
1004	0.8750
1005	1.0000
1006	0.9062
1007	0.8750
1008	0.9062
